PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
32660549,A decision support system based on support vector machine for diagnosis of periodontal disease.,2020 Jul 13,BMC research notes,Farhadian M; Shokouhi P; Torkzaban P,Journal Article,"Adult; Cross-Sectional Studies; *Decision Support Systems, Clinical; Female; Gingivitis/*diagnosis; Humans; Male; Periodontitis/*diagnosis; *Support Vector Machine; Young Adult",Clinical
40875065,Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,2025 Aug 28,Clinical oral investigations,Hui S; Hong Y; Chen S; Bao Y; Song J; Zhao Y; Tang X,Journal Article; Randomized Controlled Trial,Humans; Male; Female; *Occlusal Splints; *Tooth Mobility/therapy; *Periodontitis/therapy; Middle Aged; Adult; Treatment Outcome; Maxilla; Dental Scaling; Mastication,Clinical
26733449,"The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",2016 Nov,Clinical oral investigations,Gulseren D; Karaduman A; Kutsal D; Nohutcu RM,Journal Article,"Adult; Cross-Sectional Studies; Female; Helicobacter Infections/*microbiology; *Helicobacter pylori; Humans; Male; Periodontal Diseases/*microbiology; Periodontal Index; Prospective Studies; Recurrence; Risk Factors; Stomatitis, Aphthous/*microbiology",Clinical
25972081,Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,2016,Acta odontologica Scandinavica,Agarwal A; Gupta ND; Jain A,Comparative Study; Journal Article; Randomized Controlled Trial,"Allografts/*transplantation; Alveolar Bone Loss/diagnostic imaging/*surgery; Alveolar Process/diagnostic imaging; Blood Platelets/*physiology; Bone Regeneration/physiology; Bone Transplantation/*methods; Chronic Periodontitis/surgery; Double-Blind Method; Female; Fibrin/*therapeutic use; Follow-Up Studies; Freeze Drying; Gingival Recession/surgery; Guided Tissue Regeneration, Periodontal/methods; Humans; Male; Middle Aged; Periodontal Attachment Loss/surgery; Periodontal Pocket/surgery; Radiography; Tissue Preservation/methods; Treatment Outcome",Clinical
40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,2025 Jul 2,BMC oral health,Abou-Bakr A; Ahmed E; William H; Hassanein FEA,Journal Article,Humans; Cross-Sectional Studies; *Head and Neck Neoplasms/radiotherapy; Male; Female; Middle Aged; Prospective Studies; *Periodontal Diseases/epidemiology/etiology; Adult; Egypt/epidemiology; Risk Factors; Periodontal Index; Aged; Dental Plaque Index; Body Mass Index,Clinical
38812644,The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,2024,Turkish journal of medical sciences,Sahin T; Akca G; Ozmeric N,Journal Article; Randomized Controlled Trial,Humans; *Probiotics/therapeutic use; Male; *Dysbiosis/therapy; Female; Adult; Middle Aged; Porphyromonas gingivalis/isolation & purification; Kefir/microbiology; Tannerella forsythia/isolation & purification; Periodontitis/microbiology/therapy/prevention & control; Treponema denticola/isolation & purification; Periodontal Index; Treatment Outcome; Periodontal Diseases/microbiology/prevention & control/therapy,Clinical
36876718,Effect of antibiotics as an adjuvant to subgingival instrumentation on systemic inflammation in patients with periodontitis: a randomized clinical trial.,2023 Jun 26,"Quintessence international (Berlin, Germany : 1985)",Kaur M; Sharma R; Tewari S; Arora R; Tanwar N; Sangwan A,Journal Article; Randomized Controlled Trial,Humans; Anti-Bacterial Agents/therapeutic use; C-Reactive Protein; *Periodontitis/drug therapy; Inflammation/drug therapy; Dental Scaling/methods; *Chronic Periodontitis; Root Planing/methods,Clinical
29723659,Impact of green tea intake on clinical improvement in chronic periodontitis: A randomized clinical trial.,2018 Nov,"Journal of stomatology, oral and maxillofacial surgery",Taleghani F; Rezvani G; Birjandi M; Valizadeh M,Journal Article; Randomized Controlled Trial,*Chronic Periodontitis; Dental Scaling; Humans; Male; Periodontal Index; Root Planing; Tea,Clinical
31543299,Clinical outcomes of adjunctive indocyanine green-diode lasers therapy for treating refractory periodontitis: A randomized controlled trial with in vitro assessment.,2020 Feb,Journal of the Formosan Medical Association = Taiwan yi zhi,Chiang CP; Hsieh O; Tai WC; Chen YJ; Chang PC,"Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial","Adult; Aged; Aged, 80 and over; Biomarkers/analysis; Chronic Periodontitis/*radiotherapy; Female; Gingival Crevicular Fluid/metabolism; Humans; Indocyanine Green/*therapeutic use; Interleukin-1beta/metabolism; *Lasers, Semiconductor; Male; Matrix Metalloproteinase 8/metabolism; Middle Aged; Periodontal Index; Periodontal Pocket/*radiotherapy; *Photochemotherapy; Photosensitizing Agents/*therapeutic use; Taiwan; Treatment Outcome",Clinical
30834725,"Clinical effect of Lactobacillus on the treatment of severe periodontitis and halitosis: A double-blinded, placebo-controlled, randomized clinical trial.",2019 Feb,American journal of dentistry,Soares LG; Carvalho EB; Tinoco EMB,Journal Article; Randomized Controlled Trial,Dental Scaling; Double-Blind Method; Follow-Up Studies; *Halitosis/therapy; Humans; *Lactobacillus; Periodontal Index; Periodontal Pocket; *Probiotics/therapeutic use,Clinical
