PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,2010 Jul,Lasers in medical science,Atieh MA,Journal Article; Meta-Analysis,Chronic Periodontitis/*drug therapy; Humans; *Photochemotherapy,Review
40335202,PERIODONTITIS AS A RISK FACTOR FOR DEMENTIA: A SYSTEMATIC REVIEW AND META-ANALYSIS.,2025 Jun,The journal of evidence-based dental practice,Kim DH; Han GS,Journal Article; Meta-Analysis; Systematic Review,Humans; *Dementia/etiology/epidemiology; *Periodontitis/complications; Risk Factors,Review
38629069,"Higher odds of periodontitis in systemic lupus erythematosus compared to controls and rheumatoid arthritis: a systematic review, meta-analysis and network meta-analysis.",2024,Frontiers in immunology,Tan PR; Lee AJL; Zhao JJ; Chan YH; Fu JH; Ma M; Tay SH,Journal Article; Network Meta-Analysis; Systematic Review,"Humans; *Arthritis, Rheumatoid/epidemiology; *Lupus Erythematosus, Systemic/complications/epidemiology; Observational Studies as Topic; Odds Ratio; *Periodontitis/epidemiology",Review
27796062,Oral health status of children and young adults with autism spectrum disorders: systematic review and meta-analysis.,2017 Sep,International journal of paediatric dentistry,da Silva SN; Gimenez T; Souza RC; Mello-Moura ACV; Raggio DP; Morimoto S; Lara JS; Soares GC; Tedesco TK,Journal Article; Meta-Analysis; Systematic Review,"Adolescent; Adult; Child; Child, Preschool; Humans; Young Adult; *Autism Spectrum Disorder/complications; Databases, Factual; *Dental Caries/complications/epidemiology; *Health Status; Oral Health; *Periodontal Diseases/complications/epidemiology; Prevalence",Review
35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,2022 Sep 1,Psychosomatic medicine,Cai V; Peng Ng C; Zhao J; Siskind D; Kisely S,Journal Article; Meta-Analysis; Systematic Review,China; Humans; *Mental Disorders/epidemiology/psychology; *Periodontal Diseases/epidemiology,Review
33864280,Periodontal health status of children and adolescents with diabetes mellitus: a systematic review and meta-analysis.,2021 Mar,Australian dental journal,Zainal Abidin Z; Zainuren ZA; Noor E; Mohd Nor NS; Mohd Saffian S; Abdul Halim R,Journal Article; Meta-Analysis; Systematic Review,Adolescent; Child; Dental Care; *Diabetes Mellitus/epidemiology; Health Status; Humans; *Periodontal Diseases/complications/epidemiology; Periodontal Index,Review
25261053,Global burden of severe periodontitis in 1990-2010: a systematic review and meta-regression.,2014 Nov,Journal of dental research,Kassebaum NJ; Bernabe E; Dahiya M; Bhandari B; Murray CJ; Marcenes W,Journal Article; Meta-Analysis; Systematic Review,Age Factors; Cost of Illness; Epidemiologic Studies; Global Health/*statistics & numerical data; Humans; Incidence; Periodontitis/*epidemiology; Prevalence,Review
37173720,Periostin level in gingival crevicular fluid in periodontal disease: a systematic review and meta-analysis.,2023 May 12,BMC oral health,Abdolalian F; Bayani M; Afzali S; Nakhostin A; Almasi-Hashiani A,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Humans; *Chronic Periodontitis/metabolism; Gingival Crevicular Fluid/metabolism; *Gingivitis/metabolism; Periodontium,Review
35119242,Is there an association between periodontal diseases and ABO blood group? Systematic review and meta-analysis.,2022 Apr 5,"Quintessence international (Berlin, Germany : 1985)",Al-Askar M,Journal Article; Meta-Analysis; Systematic Review,ABO Blood-Group System; *Gingivitis; Humans; *Periodontal Diseases/complications; *Periodontitis,Review
40576216,The Impacts of Probiotics Supplementation on the Treatment of Periodontitis: An Umbrella Meta-Analysis.,2026 Feb 1,Nutrition reviews,Tan J; Zhang D; Cheng L; Liu N; Jamali M; Jamloo H; Farjaminejad R; Lei C; Saedisomeolia A; Jamilian A,Journal Article; Meta-Analysis; Systematic Review,*Probiotics/therapeutic use/administration & dosage; Humans; *Periodontitis/therapy; *Dietary Supplements; Treatment Outcome; Periodontal Index,Review
26881700,Clinical research activity in periodontal medicine: a systematic mapping of trial registers.,2016 May,Journal of clinical periodontology,Monsarrat P; Blaizot A; Kemoun P; Ravaud P; Nabet C; Sixou M; Vergnes JN,Journal Article; Systematic Review,Cardiovascular Diseases; Diabetes Mellitus; Gingival Diseases; Humans; *Periodontal Diseases; Registries,Review
40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.",2025 Mar 27,Nutrients,Buzatu R; Luca MM; Bumbu BA,Journal Article; Systematic Review,Humans; *Periodontal Diseases/prevention & control; *Vitamin B Complex/administration & dosage; *Dietary Supplements; Adult; Female; Child; Male; Age Factors; Folic Acid/administration & dosage/blood; Thiamine/administration & dosage; Riboflavin/administration & dosage/blood; Middle Aged; Vitamin B 12/administration & dosage; Young Adult,Review
33904994,Association between clinical measures of gingival inflammation and obesity in adults: systematic review and meta-analyses.,2021 Jul,Clinical oral investigations,da Silva FG; Pola NM; Casarin M; Silva CFE; Muniz FWMG,Journal Article; Meta-Analysis; Systematic Review,Adult; Cross-Sectional Studies; *Gingivitis; Humans; Inflammation; Obesity/complications/epidemiology; *Periodontitis/epidemiology,Review
39794499,Does adopting a healthy diet improve periodontal parameters in patients susceptible to periodontal disease? A systematic review.,2025 Jun,Evidence-based dentistry,Glavin C; Gartshore J; Jackson G; Bonsor S,Journal Article; Systematic Review,"Humans; *Diet, Healthy; *Periodontal Diseases/diet therapy/prevention & control",Review
26932392,The effectiveness of low-level laser therapy as an adjunct to non-surgical periodontal treatment: a meta-analysis.,2017 Feb,Journal of periodontal research,Ren C; McGrath C; Jin L; Zhang C; Yang Y,Journal Article; Meta-Analysis; Systematic Review,Combined Modality Therapy; Dental Scaling/methods; Humans; Low-Level Light Therapy/*methods; Periodontitis/*radiotherapy/therapy; Root Planing/methods,Review
35061134,Role of proinflammatory mutations in peri-implantitis: systematic review and meta-analysis.,2022 Jan 21,International journal of implant dentistry,Lafuente-Ibanez de Mendoza I; Setien-Olarra A; Garcia-De la Fuente AM; Aguirre-Urizar JM; Marichalar-Mendia X,Journal Article; Meta-Analysis; Systematic Review,*Dental Implants/adverse effects; Humans; Mutation; Osseointegration; *Peri-Implantitis/genetics; *Periodontitis/genetics,Review
27585589,Do periapical and periodontal pathologies affect Schneiderian membrane appearance? Systematic review of studies using cone-beam computed tomography.,2017 Jun,Clinical oral investigations,Eggmann F; Connert T; Buhler J; Dagassan-Berndt D; Weiger R; Walter C,Journal Article; Systematic Review,*Cone-Beam Computed Tomography; Humans; Nasal Mucosa/*diagnostic imaging/*pathology; Periapical Diseases/*diagnostic imaging/*pathology; Periodontal Diseases/*diagnostic imaging/*pathology,Review
36746669,Effects of periodontal treatment on the C-reactive protein levels in hemodialysis patients: A systematic review and meta-analysis.,2024 Jan-Feb,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Bezerra PL; de Carvalho Junior AD; da Silva AF; Pereira NEG; da Costa SRR; de Sousa JNL; Bernardino IM,Journal Article; Meta-Analysis; Systematic Review,Humans; C-Reactive Protein; *Gingivitis; *Periodontitis; Dental Care; Renal Dialysis,Review
30154031,Bariatric surgery and periodontal status: A systematic review with meta-analysis.,2018 Oct,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,Fontanille I; Boillot A; Range H; Carra MC; Sales-Peres SHC; Czernichow S; Bouchard P,Journal Article; Meta-Analysis; Systematic Review,"Bariatric Surgery/*statistics & numerical data; Female; Humans; Male; Middle Aged; Obesity, Morbid/complications/*surgery; Periodontitis/*complications; Treatment Outcome",Review
34495401,Prevalence of red and orange microbial complexes in endodontic-periodontal lesions: a systematic review and meta-analysis.,2021 Dec,Clinical oral investigations,Gambin DJ; Vitali FC; De Carli JP; Mazzon RR; Gomes BPFA; Duque TM; Trentin MS,Journal Article; Meta-Analysis; Systematic Review,*Citrus sinensis; Humans; *Microbiota; Periodontal Pocket; Porphyromonas gingivalis; Prevalence; Root Canal Therapy,Review
41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",2026 Jun,Community dental health,Kloeckner FL; Uliana JC; Kantorski KZ,Journal Article; Meta-Analysis; Review; Systematic Review,"Humans; *Dental Caries/epidemiology/psychology; *Depression/complications/epidemiology; *Periodontitis/epidemiology/psychology; Observational Studies as Topic; *Mouth, Edentulous/psychology/epidemiology",Review
24697584,Systematic review of the adjunctive use of diode and Nd:YAG lasers for nonsurgical periodontal instrumentation.,2014 Apr,Photomedicine and laser surgery,Roncati M; Gariffo A,Journal Article; Systematic Review,"Dental Scaling; Humans; Lasers, Semiconductor/*therapeutic use; Lasers, Solid-State/*therapeutic use; Periodontitis/*radiotherapy; Root Planing",Review
26329272,Efficacy of adjunctive laser in non-surgical periodontal treatment: a systematic review and meta-analysis.,2016 Jan,Lasers in medical science,Cheng Y; Chen JW; Ge MK; Zhou ZY; Yin X; Zou SJ,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Chronic Periodontitis/*therapy; Humans; Laser Therapy/adverse effects/*methods; Periodontal Pocket/therapy; Treatment Outcome,Review
39185624,Association between Periodontal Diseases and the Risk of Site-Specific Gastrointestinal Cancers: A Systematic Review and Meta-Analysis.,2024 Sep,Journal of dental research,Wang Q; Gu WJ; Ning FL; Sun M; Zhao ZG; Abe MU; Li ZN; Zhang CD,Journal Article; Meta-Analysis; Systematic Review,Humans; *Gastrointestinal Neoplasms/epidemiology/etiology/prevention & control; *Periodontal Diseases/complications/diagnosis/epidemiology/therapy; Risk Factors,Review
36353241,Obesity and periodontitis: A systematic review and updated meta-analysis.,2022,Frontiers in endocrinology,Kim CM; Lee S; Hwang W; Son E; Kim TW; Kim K; Kim YH,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Humans; Adolescent; Young Adult; Adult; *Periodontitis/complications/epidemiology; Obesity/complications/epidemiology; Odds Ratio; Body Weight; Brazil,Review
27617985,"A Systematic Review on the Implication of Minerals in the Onset, Severity and Treatment of Periodontal Disease.",2016 Sep 7,"Molecules (Basel, Switzerland)",Varela-Lopez A; Giampieri F; Bullon P; Battino M; Quiles JL,Journal Article; Systematic Review,Adult; *Alveolar Process/immunology/metabolism/pathology; Chronic Disease; Humans; Inflammation/immunology/metabolism/pathology/prevention & control; Minerals/*therapeutic use; Oral Health; *Periodontal Diseases/immunology/metabolism/pathology/prevention & control,Review
39343995,Periodontitis and Oral Health-Related Quality of Life: A Systematic Review and Meta-Analysis.,2025 Mar,Journal of clinical periodontology,Agnese CCD; Schoffer C; Kantorski KZ; Zanatta FB; Susin C; Antoniazzi RP,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Humans; *Quality of Life; *Oral Health; *Periodontitis/psychology,Review
32052179,Clinical efficacy of minimally invasive surgical (MIS) and non-surgical (MINST) treatments of periodontal intra-bony defect. A systematic review and network meta-analysis of RCT's.,2020 Mar,Clinical oral investigations,Barbato L; Selvaggi F; Kalemaj Z; Buti J; Bendinelli E; Marca M; Cairo F,Journal Article; Network Meta-Analysis; Systematic Review,Alveolar Bone Loss/*surgery/*therapy; Humans; *Minimally Invasive Surgical Procedures; *Oral Surgical Procedures; Periodontal Pocket; Randomized Controlled Trials as Topic; Treatment Outcome,Review
