PMID,Title,Dataset,n_Results,within_Results_similarity,within_Results_similarity_residualized_for_n_Results,embedding_model_label
23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,Clinical,6,0.354374090830485,-0.0448462094751255,MPNet
37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,Clinical,6,0.6119540214538575,0.2127337211482469,MPNet
25646170,Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,Clinical,4,0.3149929083883762,-0.0831638931581096,MPNet
31589587,Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,Clinical,2,0.5739550590515137,0.1768617562641525,MPNet
40875065,Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,Clinical,3,0.5737457076708475,0.176120655503924,MPNet
26733449,"The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",Clinical,4,0.4355438351631164,0.0373870336166305,MPNet
25972081,Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,Clinical,3,0.2870413859685262,-0.1105836661983973,MPNet
40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,Clinical,7,0.4471885664832024,0.0474365167980295,MPNet
38812644,The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,Clinical,2,0.1510871648788452,-0.2460061379085159,MPNet
36876718,Effect of antibiotics as an adjuvant to subgingival instrumentation on systemic inflammation in patients with periodontitis: a randomized clinical trial.,Clinical,4,0.3968803783257802,-0.0012764232207055,MPNet
29723659,Impact of green tea intake on clinical improvement in chronic periodontitis: A randomized clinical trial.,Clinical,2,0.3888291120529175,-0.0082641907344436,MPNet
31543299,Clinical outcomes of adjunctive indocyanine green-diode lasers therapy for treating refractory periodontitis: A randomized controlled trial with in vitro assessment.,Clinical,5,0.1878710489720106,-0.2108175019540375,MPNet
30834725,"Clinical effect of Lactobacillus on the treatment of severe periodontitis and halitosis: A double-blinded, placebo-controlled, randomized clinical trial.",Clinical,3,0.4378717144330342,0.0402466622661106,MPNet
40317015,"Evaluation of annexin A1, carbonic anhydrase 1, and elongation factor 1-gamma levels in periodontal diseases.",Clinical,5,0.3771657694131136,-0.0215227815129345,MPNet
20490384,Impact of periodontal disease on quality of life.,Clinical,5,0.5474449396133423,0.1487563886872941,MPNet
30182639,Propolis as an adjuvant to non-surgical periodontal treatment: a clinical study with salivary anti-oxidant capacity assessment.,Clinical,2,0.609715461730957,0.2126221589435958,MPNet
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,3,0.4817616144816081,0.0841365623146845,MPNet
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,2,0.7147042751312256,0.3176109723438644,MPNet
35645071,Immediate effects of diode laser (970+/-15 nm) on microbial load in patients with chronic periodontitis: A split-mouth study.,Clinical,3,0.2714629396796226,-0.1261621124873009,MPNet
36841278,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease.,Clinical,4,0.7264050543308258,0.32824825278434,MPNet
37170229,Research efficacy of gaseous ozone therapy as an adjuvant to periodontal treatment on oxidative stress mediators in patients with type 2 diabetes: a randomized clinical trial.,Clinical,2,0.2902699112892151,-0.106823391498146,MPNet
22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,3,0.4603835145632426,0.0627584623963191,MPNet
20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,6,0.2696564063429832,-0.1295638939626273,MPNet
37066949,The effect of motivational interviewing based on the transtheoretical model on oral cleaning behavior of patients with periodontitis who have undergone implant restoration.,Clinical,3,0.2256708989540735,-0.17195415321285,MPNet
26932733,Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,Clinical,6,0.3336578756570816,-0.0655624246485289,MPNet
27108476,"Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",Clinical,5,0.3934702515602112,-0.0052182993658369,MPNet
26291297,Microbiologic Findings in Relation to Risk Assessment for Periodontal Disease: A Cross-Sectional Study.,Clinical,3,0.5478827555974325,0.1502577034305089,MPNet
23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,8,0.518224097987903,0.1179402989231678,MPNet
21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,3,0.6366585493087769,0.2390334971418533,MPNet
34409624,Levels of myeloid-related proteins in saliva for screening and monitoring of periodontal disease.,Clinical,3,0.4770802458127339,0.0794551936458103,MPNet
30338757,Nos3 Gene Rs1799983 and Rs2070744 Polymorphisms in Patients with Periodontal Disease.,Clinical,2,0.8722456693649292,0.475152366577568,MPNet
33011399,Effectiveness of single versus multiple sessions of photodynamic therapy as adjunct to scaling and root planing on periodontopathogenic bacteria in patients with periodontitis.,Clinical,4,0.3984245049456755,0.0002677033991896,MPNet
27127325,Azithromycin buccal patch in treatment of chronic periodontitis.,Clinical,2,0.2735065221786499,-0.1235867806087112,MPNet
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,2,-0.0434607006609439,-0.4001026983408037,MiniLM
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,5,0.4965560510754585,0.1415409394293501,MiniLM
40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,Review,5,0.2606164820492267,-0.0943986295968817,MiniLM
39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,Review,4,0.3125636180241902,-0.042993788966502,MiniLM
27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,Review,3,0.2208860417207082,-0.1352136606145678,MiniLM
26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,Review,6,0.1832442626357078,-0.1712285536658168,MiniLM
34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,Review,5,0.3450590103864669,-0.0099561012596415,MiniLM
31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,Review,4,0.217535350471735,-0.1380220565189572,MiniLM
33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,Review,3,0.1624026745557785,-0.1936970277794975,MiniLM
41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,Review,6,0.2406929954886436,-0.113779820812881,MiniLM
26897256,Growth factors and beta-tricalcium phosphate in the treatment of periodontal intraosseous defects: A systematic review and meta-analysis of randomised controlled trials.,Review,2,0.3468050956726074,-0.0098369020072523,MiniLM
