embedding_model_label,perturbation_condition,Metric,n,mean_delta,sd_delta,sem_delta,median_delta,mean_absolute_delta,proportion_delta_negative,proportion_delta_positive
MiniLM,order_swap_methods_results_blocks,methods_to_aim_alignment,90,-0.0003468447261386,0.0032904579870463,0.0003468447261386,0.0,0.0003468447261386,0.0111111111111111,0.0
MiniLM,order_swap_methods_results_blocks,results_to_aim_alignment,91,-0.0017398811958648,0.016597402467748,0.0017398805335911,0.0,0.0017398811958648,0.0219780219780219,0.0
MiniLM,order_swap_methods_results_blocks,conclusion_to_background_plus_aim_alignment,98,0.008085582937513,0.0545238841635076,0.0055077440326637,0.0,0.0156463469777788,0.0306122448979591,0.1020408163265306
MiniLM,order_swap_methods_results_blocks,conclusion_plus_future_to_background_plus_aim_alignment,98,0.0048151587953372,0.0492377213430345,0.0049737609502619,0.0,0.014372880361518,0.0408163265306122,0.0918367346938775
MiniLM,random_role_labels_preserve_counts,n_sentences,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,mean_label_confidence,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,mean_local_similarity,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,min_local_similarity,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,local_similarity_volatility,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,local_discontinuity_burden,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,random_role_labels_preserve_counts,within_role_discontinuity_burden,2000,-0.0488719380228474,0.0692384806253127,0.00154821949337,-0.0625,0.0615963494774059,0.533,0.075
MiniLM,random_role_labels_preserve_counts,mean_similarity_to_opening_anchor,2000,-0.0188622370435619,0.0830419026438176,0.0018568733929249,0.0,0.0560172940058423,0.4855,0.474
MiniLM,random_role_labels_preserve_counts,final_similarity_to_opening_anchor,2000,-0.0145985408676788,0.2091663357644816,0.0046771014537392,0.0,0.1500615174304694,0.465,0.4945
MiniLM,random_role_labels_preserve_counts,mean_similarity_to_own_role_anchor_loo,2000,0.007320023206303,0.0878700613893371,0.0019648343045363,0.0071957180742174,0.0667759885551664,0.4625,0.536
MiniLM,random_role_labels_preserve_counts,within_Methods_similarity,1920,0.0446159103895167,0.1938900118086116,0.0044249138809383,0.0228111280128359,0.138828664334972,0.4171875,0.5755208333333334
MiniLM,random_role_labels_preserve_counts,within_Results_similarity,1900,-0.0534208213383485,0.1975368327931824,0.0045318057461714,-0.050748724800845,0.1494531992229924,0.6373684210526316,0.3542105263157895
MiniLM,random_role_labels_preserve_counts,conclusion_to_aim_alignment,1820,-0.2451823506376368,0.2489190381963819,0.0058347522512359,-0.2380999773740768,0.2838744233920147,0.8186813186813187,0.178021978021978
MiniLM,random_role_labels_preserve_counts,conclusion_to_results_alignment,1980,-0.0394989969994346,0.1870940388239434,0.0042046258414265,-0.0325671434402465,0.1468123763437486,0.5712121212121212,0.4272727272727272
MiniLM,random_role_labels_preserve_counts,results_to_methods_alignment,2000,0.0432358968383632,0.1676675026157488,0.0037491593346643,0.0497892349958419,0.1338626411133446,0.368,0.631
MiniLM,random_role_labels_preserve_counts,methods_to_aim_alignment,1840,-0.0844838770716349,0.2237768806403387,0.0052168254292533,-0.066043421626091,0.185963285184192,0.6331521739130435,0.3652173913043478
MiniLM,random_role_labels_preserve_counts,results_to_aim_alignment,1840,-0.0638248991013666,0.2380486475476976,0.0055495377108332,-0.0427938401699066,0.1913143687228591,0.5755434782608696,0.4201086956521739
MiniLM,random_role_labels_preserve_counts,conclusion_to_background_plus_aim_alignment,1980,-0.1595866789453371,0.2245677185965406,0.0050467841663823,-0.1516464799642563,0.2190667724702507,0.7439393939393939,0.255050505050505
MiniLM,random_role_labels_preserve_counts,conclusion_plus_future_to_background_plus_aim_alignment,1980,-0.151594885275464,0.2221573714140154,0.0049926156417508,-0.1439676284790039,0.2124201034604938,0.7353535353535353,0.2641414141414141
MiniLM,remove_conclusion,n_sentences,100,-2.13,0.8836906081367456,0.0883690608136745,-2.0,2.13,0.99,0.0
MiniLM,remove_conclusion,mean_label_confidence,100,0.0005329832568532,0.0027264774669049,0.0002726477466904,-5.900349650350689e-05,0.0017333856820853,0.52,0.46
MiniLM,remove_conclusion,mean_local_similarity,100,0.0138086533539276,0.0392226102218143,0.0039222610221814,0.011175393892659,0.0320245973571753,0.35,0.64
MiniLM,remove_conclusion,min_local_similarity,100,0.0212274339608848,0.0402637652054391,0.0040263765205439,0.0,0.021970983762294,0.02,0.34
MiniLM,remove_conclusion,local_similarity_volatility,100,-0.0101484428485219,0.02202764972355,0.002202764972355,-0.0069195393478899,0.0165306033203549,0.64,0.35
MiniLM,remove_conclusion,local_discontinuity_burden,100,-0.0042313512940447,0.0719827692589661,0.0071982769258966,0.0145687645687645,0.0545049205180784,0.4,0.55
MiniLM,remove_conclusion,within_role_discontinuity_burden,100,-0.0063562594955783,0.0545263488848291,0.0054526348884829,0.0,0.037877864567493,0.31,0.46
MiniLM,remove_conclusion,mean_similarity_to_opening_anchor,100,-0.0041546649996818,0.0267729428995863,0.0026772942899586,-0.004938277512692,0.0212803342555315,0.57,0.42
MiniLM,remove_conclusion,final_similarity_to_opening_anchor,100,-0.0861163987265899,0.1850213249539639,0.0185021324953963,-0.0702663455158472,0.1537188942870125,0.64,0.28
MiniLM,remove_conclusion,mean_similarity_to_own_role_anchor_loo,99,0.0185156680806594,0.0473174669489543,0.0047555843605977,0.0135614120147444,0.0383424704588471,0.2323232323232323,0.5555555555555556
MiniLM,remove_conclusion,within_Methods_similarity,96,-1.8238400431117943e-10,1.78699099123183e-09,1.823840043111797e-10,0.0,1.8238400431117943e-10,0.0104166666666666,0.0
MiniLM,remove_conclusion,within_Results_similarity,95,-4.705629862375292e-11,4.586480653136368e-10,4.705629862375293e-11,0.0,4.705629862375292e-11,0.0105263157894736,0.0
MiniLM,remove_conclusion,results_to_methods_alignment,100,-8.940696716308592e-10,6.6370219991687825e-09,6.63702199916878e-10,0.0,8.940696716308592e-10,0.02,0.0
MiniLM,remove_conclusion,methods_to_aim_alignment,92,-6.478765736455503e-10,6.214213790210317e-09,6.47876573645549e-10,0.0,6.478765736455503e-10,0.0108695652173913,0.0
MiniLM,remove_conclusion,results_to_aim_alignment,92,-6.478765736455503e-10,6.214213790210317e-09,6.47876573645549e-10,0.0,6.478765736455503e-10,0.0108695652173913,0.0
MiniLM,remove_conclusion,conclusion_plus_future_to_background_plus_aim_alignment,20,-0.1842894725501537,0.1900888582306353,0.042505160876902,-0.1391340047121048,0.2061310641467571,0.85,0.15
MiniLM,within_role_shuffle,n_sentences,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,within_role_shuffle,mean_label_confidence,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,within_role_shuffle,mean_local_similarity,100,-0.0197623896775762,0.0581553983158918,0.0058155398315891,-0.0215629142793742,0.0482583730922318,0.63,0.36
MiniLM,within_role_shuffle,min_local_similarity,100,-0.0068419156037271,0.0441516102929288,0.0044151610292928,0.0,0.0238111659511923,0.27,0.29
MiniLM,within_role_shuffle,local_similarity_volatility,100,-0.0065391605774087,0.0374392481633129,0.0037439248163312,-0.0055959294756509,0.028645161493357,0.57,0.42
MiniLM,within_role_shuffle,local_discontinuity_burden,100,-0.0209643338687456,0.0883479624549905,0.008834796245499,0.0,0.0652471519278794,0.4,0.21
MiniLM,within_role_shuffle,within_role_discontinuity_burden,100,0.007376337714573,0.0818004885549907,0.008180048855499,0.0,0.0530656924774571,0.25,0.26
MiniLM,within_role_shuffle,mean_similarity_to_opening_anchor,100,3.013332622314735e-10,6.125032833845392e-09,6.125032833845392e-10,0.0,1.1555521689521342e-09,0.06,0.1
MiniLM,within_role_shuffle,final_similarity_to_opening_anchor,100,-0.024456597561948,0.1123565225590937,0.0112356522559093,0.0,0.0470825405372306,0.17,0.15
MiniLM,within_role_shuffle,mean_similarity_to_own_role_anchor_loo,100,-7.912414223820719e-11,4.714384266702518e-09,4.714384266702518e-10,0.0,3.088939805051538e-09,0.33,0.37
MiniLM,within_role_shuffle,within_Methods_similarity,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,within_role_shuffle,within_Results_similarity,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,within_role_shuffle,conclusion_to_aim_alignment,91,-1.964988289298592e-09,1.3909309874679906e-08,1.4580918630893391e-09,0.0,1.964988289298592e-09,0.0219780219780219,0.0
MiniLM,within_role_shuffle,conclusion_to_results_alignment,99,-1.2041342378866792e-09,2.208935718357408e-08,2.2200639284259677e-09,0.0,7.224805427320076e-09,0.0808080808080808,0.0404040404040404
MiniLM,within_role_shuffle,results_to_methods_alignment,100,8.940696716308592e-10,2.8242804267356742e-08,2.8242804267356733e-09,0.0,1.3411045074462893e-08,0.14,0.12
MiniLM,within_role_shuffle,methods_to_aim_alignment,92,-5.668920019398564e-10,2.701592576752701e-08,2.816604965812661e-09,0.0,1.093291718026866e-08,0.108695652173913,0.1195652173913043
MiniLM,within_role_shuffle,results_to_aim_alignment,92,-2.267568007759426e-09,2.5850640183729184e-08,2.695115545455281e-09,0.0,8.746333744214931e-09,0.0869565217391304,0.0434782608695652
MiniLM,within_role_shuffle,conclusion_to_background_plus_aim_alignment,99,-1.2041342378866792e-09,1.8518395697247152e-08,1.861168795366687e-09,0.0,4.816536951546717e-09,0.0606060606060606,0.0202020202020202
MiniLM,within_role_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,99,-2.4082684757733584e-09,2.027414945952887e-08,2.0376286879043634e-09,0.0,6.020671189433396e-09,0.0808080808080808,0.0202020202020202
