Dataset,PMID,Title,embedding_model_label,perturbation_condition,replicate_id,n_sentences_original,n_sentences_perturbed,n_sentences_delta_perturbed_minus_original,mean_label_confidence_original,mean_label_confidence_perturbed,mean_label_confidence_delta_perturbed_minus_original,mean_local_similarity_original,mean_local_similarity_perturbed,mean_local_similarity_delta_perturbed_minus_original,min_local_similarity_original,min_local_similarity_perturbed,min_local_similarity_delta_perturbed_minus_original,local_similarity_volatility_original,local_similarity_volatility_perturbed,local_similarity_volatility_delta_perturbed_minus_original,local_discontinuity_burden_original,local_discontinuity_burden_perturbed,local_discontinuity_burden_delta_perturbed_minus_original,within_role_discontinuity_burden_original,within_role_discontinuity_burden_perturbed,within_role_discontinuity_burden_delta_perturbed_minus_original,mean_similarity_to_opening_anchor_original,mean_similarity_to_opening_anchor_perturbed,mean_similarity_to_opening_anchor_delta_perturbed_minus_original,final_similarity_to_opening_anchor_original,final_similarity_to_opening_anchor_perturbed,final_similarity_to_opening_anchor_delta_perturbed_minus_original,mean_similarity_to_own_role_anchor_loo_original,mean_similarity_to_own_role_anchor_loo_perturbed,mean_similarity_to_own_role_anchor_loo_delta_perturbed_minus_original,within_Methods_similarity_original,within_Methods_similarity_perturbed,within_Methods_similarity_delta_perturbed_minus_original,within_Results_similarity_original,within_Results_similarity_perturbed,within_Results_similarity_delta_perturbed_minus_original,conclusion_to_aim_alignment_original,conclusion_to_aim_alignment_perturbed,conclusion_to_aim_alignment_delta_perturbed_minus_original,conclusion_to_results_alignment_original,conclusion_to_results_alignment_perturbed,conclusion_to_results_alignment_delta_perturbed_minus_original,results_to_methods_alignment_original,results_to_methods_alignment_perturbed,results_to_methods_alignment_delta_perturbed_minus_original,methods_to_aim_alignment_original,methods_to_aim_alignment_perturbed,methods_to_aim_alignment_delta_perturbed_minus_original,results_to_aim_alignment_original,results_to_aim_alignment_perturbed,results_to_aim_alignment_delta_perturbed_minus_original,conclusion_to_background_plus_aim_alignment_original,conclusion_to_background_plus_aim_alignment_perturbed,conclusion_to_background_plus_aim_alignment_delta_perturbed_minus_original,conclusion_plus_future_to_background_plus_aim_alignment_original,conclusion_plus_future_to_background_plus_aim_alignment_perturbed,conclusion_plus_future_to_background_plus_aim_alignment_delta_perturbed_minus_original
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,6,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.4141525042553742,-0.1290688253939152,0.4252724926918745,0.5819796919822693,0.1567071992903947,0.2902425053444775,0.5428408980369568,0.2525983926924792,0.2688083574175834,0.2968145906925201,0.0280062332749366,-0.0434607006609439,0.4011958837509155,0.4446565844118595,0.623849630355835,0.8259475827217102,0.2020979523658752,0.5159451961517334,0.7835516333580017,0.2676064372062683,0.6500505805015564,0.6308422088623047,-0.0192083716392517,0.7243898510932922,0.698972761631012,-0.0254170894622802,0.6257463097572327,0.7196344137191772,0.0938881039619445,0.6217482686042786,0.3740558326244354,-0.2476924359798431,0.6217482686042786,0.3740558326244354,-0.2476924359798431
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,7,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5570824618140856,0.0138611321647961,0.4252724926918745,0.4517396539449692,0.0264671612530946,0.2902425053444775,0.4344291172244332,0.1441866118799556,0.2688083574175834,0.3318355200812221,0.0630271626636386,-0.0434607006609439,-0.0659264400601387,-0.0224657393991947,0.623849630355835,-0.013552937656641,-0.637402568012476,0.5159451961517334,0.3235703110694885,-0.1923748850822448,0.6500505805015564,0.6110296249389648,-0.0390209555625915,0.7243898510932922,0.1511732190847396,-0.5732166320085526,0.6257463097572327,0.2003611326217651,-0.4253851771354675,0.6217482686042786,0.6967073678970337,0.0749590992927551,0.6217482686042786,0.6967073678970337,0.0749590992927551
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,8,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.5432213296492895,0.5550086513782541,0.0117873217289645,0.4252724926918745,0.4198121819645166,-0.0054603107273578,0.2902425053444775,0.3651552538980137,0.0749127485535361,0.2688083574175834,0.1631998664699495,-0.1056084909476339,-0.0434607006609439,0.9045004844665528,0.9479611851274968,0.623849630355835,0.5131179690361023,-0.1107316613197326,0.5159451961517334,0.5093430280685425,-0.0066021680831909,0.6500505805015564,0.6129780411720276,-0.0370725393295288,0.7243898510932922,0.688446044921875,-0.0359438061714172,0.6257463097572327,0.8349073529243469,0.2091610431671142,0.6217482686042786,0.431324154138565,-0.1904241144657135,0.6217482686042786,0.431324154138565,-0.1904241144657135
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,9,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.5432213296492895,0.540207004485031,-0.0030143251642584,0.4252724926918745,0.3984094820916652,-0.0268630106002092,0.2902425053444775,0.357310586693612,0.0670680813491344,0.2688083574175834,0.2926507640630006,0.0238424066454172,-0.0434607006609439,0.0233173463493585,0.0667780470103025,0.623849630355835,0.3306735754013061,-0.2931760549545288,0.5159451961517334,0.3207992911338806,-0.1951459050178527,0.6500505805015564,0.7115083932876587,0.0614578127861022,0.7243898510932922,0.7137998938560486,-0.0105899572372436,0.6257463097572327,0.542939305305481,-0.0828070044517517,0.6217482686042786,0.3090910911560058,-0.3126571774482727,0.6217482686042786,0.3090910911560058,-0.3126571774482727
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,10,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.5432213296492895,0.5549058231214682,0.0116844934721787,0.4252724926918745,0.4940312355756759,0.0687587428838014,0.2902425053444775,0.308612946420908,0.0183704410764304,0.2688083574175834,0.4946930683217942,0.2258847109042108,-0.0434607006609439,-0.0451875962316989,-0.001726895570755,0.623849630355835,0.481947124004364,-0.1419025063514709,0.5159451961517334,0.3773077726364136,-0.1386374235153198,0.6500505805015564,0.6812546253204346,0.0312040448188781,0.7243898510932922,0.8533174991607666,0.1289276480674743,0.6257463097572327,0.6502196788787842,0.0244733691215515,0.6217482686042786,0.3716157078742981,-0.2501325607299804,0.6217482686042786,0.3716157078742981,-0.2501325607299804
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,11,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5532575361430645,0.010036206493775,0.4252724926918745,0.5883388072252274,0.1630663145333528,0.2902425053444775,0.3983288237994367,0.1080863184549592,0.2688083574175834,0.2664204223081469,-0.0023879351094365,-0.0434607006609439,0.4656482636928558,0.5091089643537998,0.623849630355835,0.0922483801841735,-0.5316012501716614,0.5159451961517334,0.6078254580497742,0.0918802618980407,0.6500505805015564,0.7097951769828796,0.0597445964813232,0.7243898510932922,0.2343856692314148,-0.4900041818618774,0.6257463097572327,0.0062731225043535,-0.6194731872528791,0.6217482686042786,0.6616932153701782,0.0399449467658996,0.6217482686042786,0.6616932153701782,0.0399449467658996
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,12,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5532575361430645,0.010036206493775,0.4252724926918745,0.5883388072252274,0.1630663145333528,0.2902425053444775,0.4470321630889719,0.1567896577444943,0.2688083574175834,0.4283170662820339,0.1595087088644504,-0.0434607006609439,0.255340039730072,0.298800740391016,0.623849630355835,0.8441784381866455,0.2203288078308105,0.5159451961517334,0.0345788858830928,-0.4813663102686405,0.6500505805015564,0.0686063170433044,-0.581444263458252,0.7243898510932922,0.8578100204467773,0.1334201693534851,0.6257463097572327,0.1355326771736145,-0.4902136325836181,0.6217482686042786,0.7443790435791016,0.122630774974823,0.6217482686042786,0.7443790435791016,0.122630774974823
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,13,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.4124603246649106,-0.1307610049843788,0.4252724926918745,0.2785992547869682,-0.1466732379049062,0.2902425053444775,0.4003317054699767,0.1100892001254992,0.2688083574175834,0.3718166816048324,0.1030083241872489,-0.0434607006609439,0.015564601868391,0.059025302529335,0.623849630355835,0.1037886291742324,-0.5200610011816025,0.5159451961517334,0.6428995132446289,0.1269543170928955,0.6500505805015564,0.7620785236358643,0.1120279431343078,0.7243898510932922,0.2381417751312255,-0.4862480759620666,0.6257463097572327,0.2324416041374206,-0.393304705619812,0.6217482686042786,0.390207827091217,-0.2315404415130615,0.6217482686042786,0.390207827091217,-0.2315404415130615
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,14,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5088086798787117,-0.0344126497705777,0.4252724926918745,0.462017685174942,0.0367451924830675,0.2902425053444775,0.5162014609033411,0.2259589555588635,0.2688083574175834,0.1567843344062566,-0.1120240230113268,-0.0434607006609439,0.8556429743766785,0.8991036750376225,0.623849630355835,0.0048282407224178,-0.6190213896334171,0.5159451961517334,0.8819082975387573,0.3659631013870239,0.6500505805015564,0.6150066256523132,-0.0350439548492431,0.7243898510932922,0.3601117432117462,-0.364278107881546,0.6257463097572327,0.0073857884854078,-0.6183605212718248,0.6217482686042786,0.576149582862854,-0.0455986857414245,0.6217482686042786,0.576149582862854,-0.0455986857414245
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,15,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5675137698029479,0.0242924401536583,0.4252724926918745,0.4024410005658865,-0.022831492125988,0.2902425053444775,0.5409604094245217,0.2507179040800442,0.2688083574175834,0.5879952654242515,0.319186908006668,-0.0434607006609439,0.255340039730072,0.298800740391016,0.623849630355835,0.3161969184875488,-0.3076527118682861,0.5159451961517334,0.4737917780876159,-0.0421534180641174,0.6500505805015564,-0.0159162729978561,-0.6659668534994125,0.7243898510932922,0.1352148056030273,-0.5891750454902649,0.6257463097572327,0.3001437187194824,-0.3256025910377502,0.6217482686042786,0.5910123586654663,-0.0307359099388122,0.6217482686042786,0.5910123586654663,-0.0307359099388122
