PMID,Title,Dataset,embedding_model_label,embedding_model_name,perturbation_condition,replicate_id,n_sentences,mean_label_confidence,mean_local_similarity,min_local_similarity,local_similarity_volatility,local_discontinuity_burden,within_role_discontinuity_burden,mean_similarity_to_opening_anchor,final_similarity_to_opening_anchor,mean_similarity_to_own_role_anchor_loo,observed_roles,n_Background,within_Background_similarity,n_Aim,within_Aim_similarity,n_Methods,within_Methods_similarity,n_Results,within_Results_similarity,n_Conclusion,within_Conclusion_similarity,n_Limitation/Future,within_Limitation/Future_similarity,conclusion_to_aim_alignment,conclusion_to_results_alignment,results_to_methods_alignment,methods_to_aim_alignment,results_to_aim_alignment,conclusion_to_background_plus_aim_alignment,conclusion_plus_future_to_background_plus_aim_alignment
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,15,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0,0.5120807244227483,0.5546811521053314,0.4276097281412644,Aim; Background; Conclusion; Methods; Results,2,0.3216839432716369,1,,6,0.3323749735951423,3,0.2868435631195704,1,,0,,0.4721518158912658,0.3692548871040344,0.4503416717052459,0.4478008449077606,0.2509688138961792,0.5869181752204895,0.5869181752204895
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,16,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0769230769230769,0.5223108071547288,0.5801738798618317,0.3818778693675995,Aim; Background; Conclusion; Methods; Results,2,0.3317309021949768,1,,6,0.2568802123268445,3,0.2903279612461726,1,,0,,0.2341334074735641,0.4100013971328735,0.677870512008667,0.4826995134353637,0.3784224689006805,0.3275038003921509,0.3275038003921509
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,17,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0,0.4913324965880467,0.5704110711812973,0.4126438200473785,Aim; Background; Conclusion; Methods; Results,2,0.3746839165687561,1,,6,0.2780687416593234,3,0.3268449852863948,1,,0,,0.1240265220403671,0.3586722612380981,0.5912266969680786,0.2883381247520447,0.224539428949356,0.553783118724823,0.553783118724823
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,18,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0,0.5134929922910837,0.7365456521511078,0.5163274976340207,Aim; Background; Conclusion; Methods; Results,2,0.7883570194244385,1,,6,0.3445620059967041,3,0.2895945360263188,1,,0,,0.7163609266281128,0.421003520488739,0.3917707800865173,0.4537370800971985,0.362259179353714,0.5521155595779419,0.5521155595779419
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,19,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0,0.4959129576499645,0.6979622542858124,0.4387575834989548,Aim; Background; Conclusion; Methods; Results,2,0.7163609266281128,1,,6,0.2610665222009023,3,0.2374633476138115,1,,0,,0.1577732563018798,0.2587579786777496,0.7201506495475769,0.6763346195220947,0.6923156976699829,0.2904852330684662,0.2904852330684662
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,20,13,0.976923076923077,0.3006612037618955,0.0831725299358367,0.1222804738034438,0.1538461538461538,0.0769230769230769,0.4686463245978722,0.3776989877223968,0.3531712943857366,Aim; Background; Conclusion; Methods; Results,2,0.1830847412347793,1,,6,0.2197455142935117,3,0.3655070165793101,1,,0,,0.3971483111381531,0.5693865418434143,0.7738946676254272,0.3566425740718841,0.4512625932693481,0.6270471811294556,0.6270471811294556
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,original,0,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.1818181818181818,0.5198565111918882,0.4297207072377205,0.3173961218446493,Aim; Background; Conclusion; Methods; Results,2,-0.0222898162901401,1,,4,0.3443311552206675,2,0.6696263551712036,2,0.0166812818497419,0,,0.5823555588722229,0.4767910242080688,0.6192384362220764,0.6712802648544312,0.6402321457862854,0.6027106642723083,0.6027106642723083
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,full_sentence_shuffle,0,11,0.9836363636363636,0.3919698990881443,-0.0304844137281179,0.2555232393569882,0.1818181818181818,0.0909090909090909,0.5198565139011904,0.411079078912735,0.3173961218446493,Aim; Background; Conclusion; Methods; Results,2,-0.0222898162901401,1,,4,0.3443311552206675,2,0.6696263551712036,2,0.0166812818497419,0,,0.5823555588722229,0.4767910242080688,0.6192384362220764,0.6712802648544312,0.6402321457862854,0.6027106642723083,0.6027106642723083
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,within_role_shuffle,0,11,0.9836363636363636,0.2994547767564654,-0.0222898162901401,0.2320666327575299,0.2727272727272727,0.1818181818181818,0.5198565111918882,0.4297207072377205,0.3173961218446493,Aim; Background; Conclusion; Methods; Results,2,-0.0222898162901401,1,,4,0.3443311552206675,2,0.6696263551712036,2,0.0166812818497419,0,,0.5823555588722229,0.4767910242080688,0.6192384362220764,0.6712802648544312,0.6402321457862854,0.6027106642723083,0.6027106642723083
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,remove_conclusion,0,9,0.9833333333333332,0.4292167010717094,-0.0222898162901401,0.2158001615320938,0.1111111111111111,0.1111111111111111,0.5398866898483701,0.5124977827072144,0.3925748309120536,Aim; Background; Methods; Results,2,-0.0222898162901401,1,,4,0.3443311552206675,2,0.6696263551712036,0,,0,,,,0.6192384362220764,0.6712802648544312,0.6402321457862854,,
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,order_swap_methods_results_blocks,0,11,0.983636363636364,0.3628754848614335,-0.0222898162901401,0.2331348370477662,0.1818181818181818,0.1818181818181818,0.5198565111918882,0.4297207072377205,0.3173961218446493,Aim; Background; Conclusion; Methods; Results,2,-0.0222898162901401,1,,4,0.3443311552206675,2,0.6696263551712036,2,0.0166812818497419,0,,0.5823555588722229,0.4767910242080688,0.6192384362220764,0.6712802648544312,0.6402321457862854,0.6027106642723083,0.6027106642723083
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,label_swap_methods_results,0,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.1818181818181818,0.5198565111918882,0.4297207072377205,0.2213392748186985,Aim; Background; Conclusion; Methods; __TEMP_METHODS__,2,-0.0222898162901401,1,,2,0.6696263551712036,0,,2,0.0166812818497419,0,,0.5823555588722229,,,0.6402321457862854,,0.6027106642723083,0.6027106642723083
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,1,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0,0.3737210130149668,0.4365248680114746,0.444159784913063,Aim; Background; Conclusion; Methods; Results,2,0.1395721286535263,1,,4,0.368726039926211,2,0.4875019192695617,2,0.6215490102767944,0,,0.020717579871416,0.6377556324005127,0.6072425842285156,0.0401072092354297,-0.0226303860545158,0.315587967634201,0.315587967634201
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,2,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0,0.5538593730465933,0.3994373232126236,0.2941716877743602,Aim; Background; Conclusion; Methods; Results,2,0.2165682017803192,1,,4,0.2617497071623802,2,0.4297116100788116,2,0.0284273512661457,0,,0.4457324743270874,0.3530998826026916,0.6064797043800354,0.6109366416931152,0.781304121017456,0.4820857048034668,0.4820857048034668
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,3,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0,0.5359683348373934,0.5651595890522003,0.2515810444951057,Aim; Background; Conclusion; Methods; Results,2,0.0818250626325607,1,,4,0.363947590192159,2,-0.0688874348998069,2,0.2750951945781708,0,,0.6639345288276672,0.4343852698802948,0.5771734714508057,0.8033913373947144,0.4968894422054291,0.6224620342254639,0.6224620342254639
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,4,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0,0.4108969880775971,0.2944094762206077,0.3602808631956577,Aim; Background; Conclusion; Methods; Results,2,0.0465609990060329,1,,4,0.4776317750414212,2,0.0119354352355003,2,0.5514633655548096,0,,0.4678033590316772,0.4984185695648193,0.5960884690284729,0.4190383851528168,0.3062055110931396,0.4429106116294861,0.4429106116294861
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,5,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0909090909090909,0.520664381667633,0.2862236723303795,0.3713620416820049,Aim; Background; Conclusion; Methods; Results,2,0.2825939953327179,1,,4,0.5988007634878159,2,-0.0222898162901401,2,0.1953452825546264,0,,0.3957862854003906,0.2438687831163406,0.49870365858078,0.4946901798248291,0.3392492830753326,0.3478372693061828,0.3478372693061828
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,6,11,0.9836363636363636,0.3556975046172738,-0.0222898162901401,0.2434747776705395,0.2727272727272727,0.0,0.5054043822667815,0.4850422441959381,0.3834166020154953,Aim; Background; Conclusion; Methods; Results,2,0.1395721286535263,1,,4,0.2504800508419673,2,0.4875019192695617,2,0.5538219213485718,0,,0.7111560106277466,0.681075930595398,0.4281022548675537,0.4620667397975921,0.5546683669090271,0.596457839012146,0.596457839012146
