abstract_key,PMID,Title,Dataset,total_sentence_count,results_sentence_count,mean_sentence_length_words,median_sentence_length_words,total_word_count,type_token_ratio,numeral_density,statistical_token_density,results_word_count,results_type_token_ratio,results_numeral_density,results_statistical_token_density,tfidf_within_results_similarity,tfidf_conclusion_results_alignment,within_Results_similarity,conclusion_to_results_alignment
Clinical::33011399::Effectiveness of single versus multiple sessions of photodynamic therapy as adjunct to scaling and root planing on periodontopathogenic bacteria in patients with periodontitis.,33011399,Effectiveness of single versus multiple sessions of photodynamic therapy as adjunct to scaling and root planing on periodontopathogenic bacteria in patients with periodontitis.,Clinical,12,4,20.75,23.5,249,0.5140562248995983,0.0803212851405622,0.0120481927710843,74,0.6756756756756757,0.054054054054054,0.0405405405405405,0.1164988710698889,0.12850137741404,0.3711775243282318,0.4795421659946441
Clinical::33687555::Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,33687555,Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,Clinical,17,6,23.0,22.0,391,0.4271099744245524,0.0485933503836317,0.0306905370843989,112,0.5089285714285714,0.1517857142857142,0.0982142857142857,0.1668933301157791,0.0943324022275041,0.3831427643696467,0.2662738859653473
Clinical::34409624::Levels of myeloid-related proteins in saliva for screening and monitoring of periodontal disease.,34409624,Levels of myeloid-related proteins in saliva for screening and monitoring of periodontal disease.,Clinical,11,3,23.63636363636364,20.0,260,0.4346153846153846,0.1615384615384615,0.0,103,0.5533980582524272,0.1844660194174757,0.0,0.2031447770913414,0.2337033505137805,0.4199754893779754,0.6393500566482544
Clinical::35645071::Immediate effects of diode laser (970+/-15 nm) on microbial load in patients with chronic periodontitis: A split-mouth study.,35645071,Immediate effects of diode laser (970+/-15 nm) on microbial load in patients with chronic periodontitis: A split-mouth study.,Clinical,12,3,18.666666666666668,18.0,224,0.4910714285714285,0.0223214285714285,0.0,36,0.7777777777777778,0.0,0.0,0.0331992062815238,0.1866246722088294,0.2157390415668487,0.5643652081489563
Clinical::36414947::Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,Clinical,10,2,21.6,23.0,216,0.5370370370370371,0.074074074074074,0.0138888888888888,52,0.7307692307692307,0.0769230769230769,0.0576923076923076,0.081193808244191,0.0939221801714397,0.4364216327667236,0.216278463602066
Clinical::36841278::Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease.,36841278,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease.,Clinical,15,4,18.4,18.0,276,0.4492753623188406,0.0434782608695652,0.0181159420289855,85,0.4588235294117647,0.0705882352941176,0.0352941176470588,0.383360773761936,0.0225529677133073,0.6859487990538279,0.3927419185638428
Clinical::36876718::Effect of antibiotics as an adjuvant to subgingival instrumentation on systemic inflammation in patients with periodontitis: a randomized clinical trial.,36876718,Effect of antibiotics as an adjuvant to subgingival instrumentation on systemic inflammation in patients with periodontitis: a randomized clinical trial.,Clinical,13,4,16.692307692307693,18.0,217,0.5069124423963134,0.0092165898617511,0.0092165898617511,69,0.6666666666666666,0.0144927536231884,0.0,0.1866345202560249,0.0645828994057589,0.4197737574577331,0.4838733673095703
Clinical::37066949::The effect of motivational interviewing based on the transtheoretical model on oral cleaning behavior of patients with periodontitis who have undergone implant restoration.,37066949,The effect of motivational interviewing based on the transtheoretical model on oral cleaning behavior of patients with periodontitis who have undergone implant restoration.,Clinical,13,3,14.538461538461538,17.0,189,0.4867724867724867,0.0264550264550264,0.0105820105820105,40,0.75,0.05,0.05,0.1890958045603014,0.0490757456902263,0.1506300568580627,0.5713659524917603
Clinical::37170229::Research efficacy of gaseous ozone therapy as an adjuvant to periodontal treatment on oxidative stress mediators in patients with type 2 diabetes: a randomized clinical trial.,37170229,Research efficacy of gaseous ozone therapy as an adjuvant to periodontal treatment on oxidative stress mediators in patients with type 2 diabetes: a randomized clinical trial.,Clinical,13,2,21.384615384615383,21.0,278,0.5287769784172662,0.0323741007194244,0.0035971223021582,27,0.8518518518518519,0.0,0.0,0.0585730164763649,0.2063235913698658,0.236421450972557,0.3920395970344543
Clinical::37814261::Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,Clinical,12,6,22.666666666666668,26.5,272,0.5992647058823529,0.0110294117647058,0.0036764705882352,135,0.6444444444444445,0.0,0.0,0.0937344683174348,0.1786830998070754,0.6075129032135009,0.5573993921279907
Clinical::38812644::The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,38812644,The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,Clinical,12,2,18.166666666666668,16.5,218,0.6238532110091743,0.0091743119266055,0.0045871559633027,26,0.8846153846153846,0.0,0.0,0.0406176345061068,0.0478918992581945,0.167282685637474,0.1262314915657043
Clinical::39396137::Evaluation of a new mouthwash formulated with Chlorhexidine and Cymenol after a scaling and root planing treatment in grade I and II periodontal patients.,39396137,Evaluation of a new mouthwash formulated with Chlorhexidine and Cymenol after a scaling and root planing treatment in grade I and II periodontal patients.,Clinical,11,1,18.09090909090909,19.0,199,0.6180904522613065,0.0452261306532663,0.0251256281407035,34,0.7941176470588235,0.0294117647058823,0.0294117647058823,,0.0198798675496709,,0.3263777792453766
"Clinical::40123306::Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",40123306,"Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",Clinical,13,5,18.307692307692307,16.0,238,0.542016806722689,0.0672268907563025,0.0084033613445378,72,0.5277777777777778,0.0833333333333333,0.0138888888888888,0.1746668075003091,0.0591987328152533,0.2884643066674471,0.5449527502059937
"Clinical::40317015::Evaluation of annexin A1, carbonic anhydrase 1, and elongation factor 1-gamma levels in periodontal diseases.",40317015,"Evaluation of annexin A1, carbonic anhydrase 1, and elongation factor 1-gamma levels in periodontal diseases.",Clinical,12,5,17.666666666666668,18.5,212,0.4811320754716981,0.0990566037735849,0.0188679245283018,74,0.527027027027027,0.1081081081081081,0.054054054054054,0.0975724819997774,0.1955930868017832,0.3432912612333894,0.7099641561508179
Clinical::40604898::Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,Clinical,19,7,18.42105263157895,20.0,350,0.5485714285714286,0.06,0.0314285714285714,116,0.6724137931034483,0.1293103448275862,0.0862068965517241,0.0437493599226244,0.4347524405980839,0.4147358918119044,0.8568505048751831
Clinical::40631715::Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,Clinical,12,3,20.58333333333333,14.0,247,0.5748987854251012,0.048582995951417,0.0364372469635627,123,0.6829268292682927,0.073170731707317,0.073170731707317,0.1093040227426533,0.118591952028613,0.5701519449551901,0.524234414100647
Clinical::40875065::Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,40875065,Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,Clinical,12,3,24.5,26.5,294,0.4523809523809524,0.1292517006802721,0.0170068027210884,104,0.5769230769230769,0.2115384615384615,0.0192307692307692,0.1765723209387254,0.2053774384252276,0.5083555579185486,0.5013445019721985
Review::20024665::Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,Review,12,3,20.5,19.5,246,0.5853658536585366,0.0609756097560975,0.0365853658536585,59,0.7796610169491526,0.1864406779661017,0.135593220338983,0.0,0.0681430584548371,0.1319702342152595,0.509719967842102
Review::23151293::Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,23151293,Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,Review,11,2,20.454545454545453,24.0,225,0.4888888888888889,0.0533333333333333,0.0266666666666666,47,0.851063829787234,0.1489361702127659,0.0851063829787234,0.0143783565484996,0.4218150354612447,0.2429416328668594,0.7555294632911682
