embedding_model_label,Metric,Review_mean,Clinical_mean,Review_SD,Clinical_SD,Mean_difference_Review_minus_Clinical,Cohen_d_Review_minus_Clinical,Welch_t_stat,Welch_t_p,Mann_Whitney_U,Mann_Whitney_p,n_review,n_clinical
MPNet,conclusion_to_aim_alignment,0.6613990689845796,0.6588065678423102,0.1514257688308955,0.1664007403188679,0.0025925011422693,0.0163217460975441,0.077563932387513,0.9383535178479964,1087.0,0.676717250342904,47,44
MPNet,conclusion_to_results_alignment,0.6573684394359589,0.5738233139320296,0.1326205125612096,0.1427208265776294,0.0835451255039293,0.6066689488904556,3.015730209609207,0.0032793449322432,1679.0,0.001504371883085,50,49
MPNet,results_to_methods_alignment,0.6225550615787506,0.6205533453822136,0.1172113041800863,0.1366487183480992,0.0020017161965369,0.015724210893053,0.0786210544652651,0.9374980619332132,1225.0,0.8658764106823897,50,50
MPNet,methods_to_aim_alignment,0.5188886348871474,0.6108616014321645,0.1740735279163659,0.1211372054084905,-0.091972966545017,-0.610963737365151,-2.951843927721222,0.0041146576338538,745.0,0.0148112817680182,47,45
MPNet,results_to_aim_alignment,0.5761447618616388,0.5083418481879765,0.1476032522987386,0.1799638387096455,0.0678029136736623,0.4128719362977743,1.9710999050120803,0.0519605438507205,1328.0,0.0349524846523559,47,45
MPNet,conclusion_to_background_plus_aim_alignment,0.6679139339923859,0.6431166456670178,0.1504801291727258,0.1421497526366677,0.024797288325368,0.1693605668978985,0.8430044631470902,0.4013026481671873,1433.0,0.1464467003151892,50,49
MPNet,conclusion_plus_future_to_background_plus_aim_alignment,0.6753801739215851,0.6444314462797982,0.1462900400380561,0.1411566229413628,0.0309487276417869,0.2152614996493592,1.0712480786996164,0.2867167037989603,1419.0,0.1756668696809312,50,49
MiniLM,n_sentences,13.22,11.88,2.6518380225721154,2.6698620311368386,1.34,0.503595580720391,2.517977903601955,0.0134233200359998,1616.0,0.0109182760361163,50,50
MiniLM,mean_label_confidence,0.9777034546018138,0.9815471656310664,0.0098280124586932,0.006828710416279,-0.0038437110292526,-0.4542157639934588,-2.271078819967294,0.0256000111610349,905.5,0.0176961469269126,50,50
MiniLM,mean_local_similarity,0.3134045140870968,0.3295732254067809,0.0847741501875395,0.1038068173804941,-0.0161687113196841,-0.170610938050735,-0.8530546902536749,0.3957919835172627,1083.0,0.2510424623996106,50,50
MiniLM,min_local_similarity,0.0211115223541855,0.0332618886139243,0.0722276023991534,0.1262695333628503,-0.0121503662597388,-0.1181239889632897,-0.5906199448164485,0.5564833479854253,1345.0,0.5147457320739065,50,50
MiniLM,local_similarity_volatility,0.2230995366981277,0.2131118250903867,0.0613271748388287,0.065072719538034,0.009987711607741,0.1579642057916824,0.7898210289584122,0.431545886633078,1333.0,0.569532503257159,50,50
