Dataset,PMID,Title,Metric,Embedding_model,Value
Review,20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,n_sentences,MPNet,12.0
Review,40335202,PERIODONTITIS AS A RISK FACTOR FOR DEMENTIA: A SYSTEMATIC REVIEW AND META-ANALYSIS.,n_sentences,MPNet,13.0
Review,38629069,"Higher odds of periodontitis in systemic lupus erythematosus compared to controls and rheumatoid arthritis: a systematic review, meta-analysis and network meta-analysis.",n_sentences,MPNet,12.0
Review,27796062,Oral health status of children and young adults with autism spectrum disorders: systematic review and meta-analysis.,n_sentences,MPNet,13.0
Review,35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,n_sentences,MPNet,15.0
Review,33864280,Periodontal health status of children and adolescents with diabetes mellitus: a systematic review and meta-analysis.,n_sentences,MPNet,8.0
Review,25261053,Global burden of severe periodontitis in 1990-2010: a systematic review and meta-regression.,n_sentences,MPNet,11.0
Review,37173720,Periostin level in gingival crevicular fluid in periodontal disease: a systematic review and meta-analysis.,n_sentences,MPNet,17.0
Review,35119242,Is there an association between periodontal diseases and ABO blood group? Systematic review and meta-analysis.,n_sentences,MPNet,18.0
Review,40576216,The Impacts of Probiotics Supplementation on the Treatment of Periodontitis: An Umbrella Meta-Analysis.,n_sentences,MPNet,13.0
Review,26881700,Clinical research activity in periodontal medicine: a systematic mapping of trial registers.,n_sentences,MPNet,11.0
Review,40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.",n_sentences,MPNet,11.0
Review,33904994,Association between clinical measures of gingival inflammation and obesity in adults: systematic review and meta-analyses.,n_sentences,MPNet,17.0
Review,26932392,The effectiveness of low-level laser therapy as an adjunct to non-surgical periodontal treatment: a meta-analysis.,n_sentences,MPNet,14.0
Review,35061134,Role of proinflammatory mutations in peri-implantitis: systematic review and meta-analysis.,n_sentences,MPNet,12.0
Review,27585589,Do periapical and periodontal pathologies affect Schneiderian membrane appearance? Systematic review of studies using cone-beam computed tomography.,n_sentences,MPNet,13.0
Review,36746669,Effects of periodontal treatment on the C-reactive protein levels in hemodialysis patients: A systematic review and meta-analysis.,n_sentences,MPNet,15.0
Review,30154031,Bariatric surgery and periodontal status: A systematic review with meta-analysis.,n_sentences,MPNet,16.0
Review,34495401,Prevalence of red and orange microbial complexes in endodontic-periodontal lesions: a systematic review and meta-analysis.,n_sentences,MPNet,15.0
Review,41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",n_sentences,MPNet,12.0
Review,24697584,Systematic review of the adjunctive use of diode and Nd:YAG lasers for nonsurgical periodontal instrumentation.,n_sentences,MPNet,10.0
Review,26329272,Efficacy of adjunctive laser in non-surgical periodontal treatment: a systematic review and meta-analysis.,n_sentences,MPNet,8.0
Review,39185624,Association between Periodontal Diseases and the Risk of Site-Specific Gastrointestinal Cancers: A Systematic Review and Meta-Analysis.,n_sentences,MPNet,13.0
Review,36353241,Obesity and periodontitis: A systematic review and updated meta-analysis.,n_sentences,MPNet,14.0
Review,27617985,"A Systematic Review on the Implication of Minerals in the Onset, Severity and Treatment of Periodontal Disease.",n_sentences,MPNet,9.0
Review,39343995,Periodontitis and Oral Health-Related Quality of Life: A Systematic Review and Meta-Analysis.,n_sentences,MPNet,12.0
Review,32052179,Clinical efficacy of minimally invasive surgical (MIS) and non-surgical (MINST) treatments of periodontal intra-bony defect. A systematic review and network meta-analysis of RCT's.,n_sentences,MPNet,16.0
Review,32233092,Do patients with aggressive and chronic periodontitis exhibit specific differences in the subgingival microbial composition? A systematic review.,n_sentences,MPNet,11.0
Clinical,28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",n_sentences,MPNet,10.0
Clinical,28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,n_sentences,MPNet,16.0
Clinical,36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,n_sentences,MPNet,10.0
Clinical,27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,n_sentences,MPNet,8.0
