Dataset,Metric,n_pairs,MiniLM_mean,MPNet_mean,Mean_difference_MPNet_minus_MiniLM,Mean_absolute_difference,Spearman_rho,Spearman_p
Clinical,conclusion_to_background_plus_aim_alignment,49,0.5989523219818972,0.6431166456670178,0.0441643236851205,0.0522403370360938,0.9261224489795916,1.5688053851199705e-21
Clinical,conclusion_plus_future_to_background_plus_aim_alignment,49,0.6003099613043726,0.6444314462797982,0.0441214849754255,0.0521974983263988,0.9211224489795918,6.912631185737217e-21
Review,n_sentences,50,13.22,13.22,0.0,0.0,1.0,0.0
Review,mean_label_confidence,50,0.9777034546018138,0.9777034546018138,0.0,0.0,1.0,0.0
Review,mean_local_similarity,50,0.3134045140870968,0.3724361175252856,0.0590316034381887,0.0590316034381887,0.8958943577430971,1.5545728127058013e-18
Review,min_local_similarity,50,0.0211115223541855,0.0688718402478843,0.0477603178936987,0.0539381385874002,0.704873949579832,1.1049330180206616e-08
Review,local_similarity_volatility,50,0.2230995366981277,0.2259104696520645,0.0028109329539367,0.0198374980420945,0.905594237695078,1.663154600993209e-19
Review,local_discontinuity_burden,50,0.1486036789148243,0.1611094705088513,0.0125057915940268,0.0407885970238911,0.637012439505363,6.570949320814922e-07
Review,within_role_discontinuity_burden,50,0.0793862742005156,0.0825202256463866,0.0031339514458709,0.0237460019340824,0.7140598892233436,5.815037417423888e-09
Review,mean_similarity_to_opening_anchor,50,0.4534446278464508,0.4986733168037414,0.0452286889572905,0.0455915431847142,0.9653301320528208,1.18864915702252e-29
Review,final_similarity_to_opening_anchor,50,0.5135875276476145,0.5549367957934738,0.0413492681458592,0.0466868909075856,0.9507322929171668,4.637896836290498e-26
Review,mean_similarity_to_own_role_anchor_loo,50,0.3756210255929111,0.4397858064877845,0.0641647808948733,0.0654901757254067,0.9096278511404562,6.109425039334788e-20
Review,within_Methods_similarity,49,0.2459303425985186,0.3271098237855774,0.0811794811870588,0.0867954332252966,0.853673469387755,6.500123761132051e-15
Review,within_Results_similarity,49,0.3055750579843228,0.3582216009700379,0.0526465429857151,0.0625395125996986,0.8621428571428571,1.7655665096162346e-15
Review,conclusion_to_aim_alignment,47,0.6314332694449323,0.6613990689845796,0.0299657995396472,0.051361434637232,0.9146623496762258,2.5563072226323483e-19
Review,conclusion_to_results_alignment,50,0.6070645785331726,0.6573684394359589,0.0503038609027862,0.0583158802986145,0.929123649459784,2.2402298143051547e-22
Review,results_to_methods_alignment,50,0.5452330303192139,0.6225550615787506,0.0773220312595367,0.0785939407348632,0.8968547418967586,1.2584818424274102e-18
Review,methods_to_aim_alignment,47,0.4763302535135695,0.5188886348871474,0.0425583813735779,0.0526190950198376,0.9523589269195192,7.679886661899274e-25
Review,results_to_aim_alignment,47,0.539732648654187,0.5761447618616388,0.0364121132074518,0.0578464951286924,0.8812442183163738,3.0196253536179633e-16
Review,conclusion_to_background_plus_aim_alignment,50,0.6290589824318886,0.6679139339923859,0.0388549515604972,0.0475829109549522,0.9623529411764704,8.302887979370324e-29
Review,conclusion_plus_future_to_background_plus_aim_alignment,50,0.6371060371398926,0.6753801739215851,0.0382741367816925,0.0474932479858398,0.9538055222088836,1.0234193353287515e-26
